"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1063.42011308049","1198.50708271962","1483.51597980311","1789.58956778188","2023.39994991844","2268.78997758801","2542.5272702175","2946.2403938049","3452.52251190745","4220.96162054598","4969.78188299583","5944.67089296938","6585.84024161042","6889.00494893358","7156.8534228733","7296.551772665","7652.102973745","8218.5974789469","7841.46403429469","8379.57673916578","8755.15649945473","9115.23453172274","9363.1866398544","9932.02978773184","9414.16061299198","9443.06370219244","9801.96706621506","10419.311195125","11452.7388020156","12812.7644704316","14350.9190458994","14797.3684231605","13082.2816597386","12174.6978594572","11931.2041070835","12517.5579290917","12194.6087607071","12946.9869363675","13659.1479142644","14462.1762794658","15021.7381833074",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1807.34978407022","1874.30476770293","1851.42481621132","1963.63907865756","2127.56690159395","2277.0666755098","2339.86193776423","2575.62007733011","2719.42979712242","2986.21888933316","3299.03729664552","3489.08660129541","3942.81241954439","4762.47930449704","6471.55416483126","6992.53897536211","7474.86235848476","7763.13077195441","8239.95482475188","9279.25359480482","10191.8160604335","11830.8653178352","12763.3236063969","11515.8064658839","12428.8579338162","11434.8898883603","11360.527656765","11623.3596704092","14257.022162373","17801.2682666586","18214.8369843135","18824.2474038288","18569.7687940943","17633.3813804079","18045.4390604354","20319.6306283956","21861.32550987","23468.5968306374","21318.9641694318","20521.7775705928","21669.410913094","19482.5679026647","20074.2293129481","23437.3121454327","30401.5547862944","33961.6818019217","36019.203051188","40905.4708936845","49535.2578737769","42709.8033034787","51936.8887116461","62411.7854473961","67864.6898624672","67990.2900304798","62327.5559390333","56561.4123818054","49896.6811009246","53799.9380899599",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76907922607","2380.97844333246","2924.04887110057","3890.72245647634","4630.7572070671","5285.62072414121","5678.38663782273","6810.6277286986","8205.46892702823","9793.76530724628","10869.5464236099","9385.24901832146","9410.34722457985","9537.40743056414","8991.06507601017","9172.09676880976","13083.0726978243","16392.7695665813","17578.6189397397","17468.9461918554","21680.9896863626","22410.9117362704","24880.164070125","24081.5278077646","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27174.2971559775","24564.4582948404","24537.5142629883","26401.7454564357","32222.8972411655","36821.5214680093","38403.1338770715","40635.2818159724","46855.7717452095","51708.7657541758","47963.1794023217","46858.0432733717","51374.9584066934","48567.69528642","50716.7087062864","51704.5411875921","44206.7842820834","44731.0108553361","47290.9116498316",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1237.32449256825","734.974556457159","652.95312923327","530.588324705922","436.066542624031","397.221423299202","409.216745216782","505.560573228931","561.910074202206","573.91347179735","655.119945170816","703.683843432722","763.073085847085","883.64399654717","1045.02162987002","1578.40239029603","2473.08181863536","3851.43786871172","5574.60380218613","4950.29479142375","5842.80578358576","7189.69122920765","7496.29464768263","7875.75695254288","7891.31314749986","5500.31038244408","3880.73873089556","4131.61831005055",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.3490786064852","71.4872777291414","73.7817649496193","78.9002836003344","86.6031946364808","51.6573646771225","52.4767229561783","55.1316867125382","55.243404187824","56.0788814178728","70.2431270893069","72.1295529412513","69.6391925469869","85.0470001459123","95.413951050892","114.66358563208","119.90739092072","143.28912783689","155.917661842898","194.97538606952","223.407226181457","229.458186673044","233.817671036511","243.423806639733","215.944186275343","244.568937520968","248.210133926897","226.849715785079","210.750095890205","210.969520292236","209.051615161197","210.64387719953","191.310912981441","162.635224953531","157.543001456617","167.79917167617","143.853293287245","159.175528123232","144.474612191101","128.696439743929","135.998445465725","133.742768926491","122.433589296366","112.849370292195","127.429664803296","150.507043368766","165.87941756143","170.799900471753","196.247262831381","204.94465018984","231.194325649216","260.479907338153","265.285605131269","282.755525208188","312.748979387017","300.676556925263","285.727442064745","320.086870120894",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2780.69618678327","3099.43015794539","3852.14172933289","4927.1959234948","5764.48988319245","6737.24825069324","7281.8177353643","8472.0544682791","10344.8471326448","11873.8354044821","12932.8605964577","10679.6638923607","9393.87669193076","8893.58613003995","8502.53859675867","8797.65967886135","12235.1841374482","15216.8710172156","16478.831592157","16613.516652258","20710.6443430806","21154.2918385501","23497.7274067423","22403.2168180008","24338.1377018161","28565.9191516066","27701.903287059","25027.7445890682","25541.6747233656","25444.1392583071","23207.4059110078","23121.6011440246","25052.3393900855","30743.9025377208","35589.6891168402","36967.2591839688","38852.3729277437","44403.7668991523","48424.5755963147","44880.5730196227","44380.1766327308","47702.8118941685","44740.5832481477","46582.6695503412","47351.9741788818","40361.1541907535","41260.9775511468","43323.8073364711",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0225089907107","95.5721547147448","94.4645349843821","99.8591138855553","104.339768039886","110.132793835113","112.940836383512","111.951601925238","116.89506602186","116.025094341185","114.556596466987","112.570089087637","134.819407935009","161.987373671434","174.014149085561","207.300439745473","208.656153830514","218.4543657692","263.581057550946","327.821677993792","378.043898303902","337.978194739187","322.77769945337","271.129240225224","252.869785044788","244.410998858469","303.348897858296","344.503070791789","346.736037681422","311.678303860822","393.686214423531","385.753616012638","317.962855286116","411.926030522283","279.666504326806","367.387341032599","387.432924636251","361.100269794441","379.442353954477","403.623703839155","374.192394159235","378.736053976421","418.698576347103","519.292284661195","583.409351430682","601.799976958875","625.830091976463","706.053541900699","820.151349819346","793.452430030705","757.695907409377","825.942785363215","837.950500075362","915.328155408233","943.686575031401","783.963077800944","788.532442415695","829.797230600794",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.424748569325","71.558180092437","76.5206113987061","78.372071942432","80.4727667455189","81.7251154955019","82.5456368946943","84.3631649403545","84.7330493468762","86.5202111123235","81.4998986817012","84.2878150139644","99.3267640249866","113.780584338816","124.359030451525","152.728220114244","155.648997960296","176.783367666295","225.941652537233","262.076009642159","282.685735299595","254.230780675111","245.09470243903","217.994750842831","193.843240284709","200.8944225118","256.762318808596","291.131963880905","313.061891095721","304.853438781463","351.979322852536","346.410672442444","240.963480980403","244.127073499416","193.070236298833","235.832197299769","249.360294415648","229.493117735387","255.7182333817","265.340115553605","226.47598136698","235.491232436187","260.763541319743","332.344305065633","371.323086483012","406.998807060623","420.582523292431","475.110012184526","569.761278420207","552.745552106433","575.446452687734","666.840410055466","673.822818226635","699.781537016479","703.821656461717","575.314454176311","613.993127495919","670.705913111953",
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","88.6912106301172","97.1427301809153","99.5767136542539","101.260491234629","99.5038642680161","105.789170344458","111.658639483114","121.662093381097","121.528897681744","133.575436747748","138.247964678779","131.755763180609","93.0248701122493","117.72581488208","179.045064975981","272.745197807152","138.592233931828","128.809261111467","172.414696039675","196.442625605373","222.632350948637","241.870369216672","215.393257600295","199.336645408325","208.534635084227","239.039220463711","227.423025568813","247.072311975068","263.222790451427","277.817839072409","297.567994452354","284.725605857957","285.095505116666","291.714489376625","290.652452863508","319.608700398284","382.935763583537","389.523631359225","395.297460669815","397.35482187218","405.603307141767","402.598115151563","400.613574533353","432.738897240785","460.75791673039","484.155407057992","494.050146576549","541.065148395087","615.777541053092","681.120536769049","757.671757176894","835.789340127412","856.342857027401","951.889453456343","1084.56542980269","1210.15876939761","1358.77902884543","1516.51342307197",
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","2238.80295786574","2234.81481573125","2169.00401089683","1852.81343442802","1963.57267618274","1914.55064658793","2260.4272811545","3132.30136036246","2511.39306259489","2477.0208179596","2366.52982128614","1267.73437541485","1211.98087810931","1278.24717346108","1148.4943993817","1554.04693051431","1208.87510294398","1346.91055286808","1771.99614428015","1643.61141929609","1609.88245178581","1757.44377980694","2076.83068237844","2698.62424839705","3363.79964421813","3869.52945510511","4490.20177692701","5885.94925197955","7261.75449200277","6969.55855668357","6843.26694975885","7813.80669236432","7378.02473005713","7674.86186683366","7853.33293724146","6993.47554370696","7469.44770298113","8031.59844245699",
