"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bosnia and Herzegovina","BIH","Urban population","SP.URB.TOTL","614167","647394","685299","724833","765518","806727","848311","890331","933087","977062","1022901","1069057","1112020","1156160","1201235","1246859","1292835","1339106","1386246","1434929","1485646","1532011","1561402","1591113","1621131","1650958","1681899","1713034","1739343","1753764","1751849","1726565","1673364","1612838","1557097","1514845","1489091","1477295","1475741","1478348","1480541","1481549","1482533","1483128","1483134","1482435","1480833","1477898","1473863","1468015","1460025","1449392","1436588","1423470","1412707","1406146","1404616","1407541",
"Belarus","BLR","Urban population","SP.URB.TOTL","2656234","2772677","2895029","3022385","3153963","3282735","3415027","3551335","3690749","3831426","3978504","4133823","4290972","4447749","4602886","4741013","4877627","5019081","5167027","5309728","5448102","5591406","5734993","5879814","6025280","6167842","6312729","6457896","6578021","6669994","6722804","6766166","6820815","6876000","6907418","6924376","6940093","6949064","6954054","6966778","6983033","6995457","6998521","6996348","6994710","6992229","6993921","7005597","7024602","7051358","7081399","7109237","7142570","7182515","7226873","7275404","7320552","7360617",
"Belize","BLZ","Urban population","SP.URB.TOTL","49740","50874","52013","53188","54410","55692","57046","58442","59828","61107","62268","63401","64396","65278","66086","66858","67590","68294","69059","69998","71175","72577","74223","76043","77945","79853","81779","83738","85658","87432","89022","90414","92011","93660","95672","98274","101556","105425","109654","113925","117878","120842","123557","126090","128602","131188","133863","136584","139308","141996","144605","147208","149818","152465","155181","157990","160891","163893",
"Bermuda","BMU","Urban population","SP.URB.TOTL","44400","45500","46600","47700","48900","50100","51000","52000","53000","54000","55000","54600","54200","53800","53400","53000","53200","53400","53600","53800","54670","55050","55449","55930","56423","56898","57382","57849","58347","58841","59326","59021","58595","58910","59320","59746","60129","60497","60943","61285","61833","62504","62912","63325","63740","64154","64523","64888","65273","65636","65124","64564","64798","65001","65139","65239","65341","65441",
"Bolivia","BOL","Urban population","SP.URB.TOTL","1357786","1395202","1433798","1473628","1514810","1557286","1601227","1646632","1693563","1742044","1792218","1844009","1897509","1952801","2010085","2069524","2131079","2221487","2324287","2430642","2540518","2653552","2770078","2889746","3012564","3138013","3266233","3397152","3531295","3668833","3810495","3956298","4104155","4230966","4361177","4494628","4622054","4752422","4885260","5020176","5156654","5294346","5433522","5573824","5715321","5857965","6001861","6146758","6292705","6439895","6588291","6737876","6888700","7040563","7193570","7347710","7502948","7659090",
"Brazil","BRA","Urban population","SP.URB.TOTL","33315843","35036038","36830967","38699975","40632217","42614884","44649390","46735257","48873647","51058529","53296257","55601915","57962113","60375977","62858800","65416319","68051067","70755737","73536292","76391349","79320872","82319314","85387337","88504411","91645752","94786163","97923276","101051513","104173596","107289048","110404093","113511305","116609474","119705248","122818031","125958401","129130417","132441101","135763838","139064280","142319498","144961004","147507656","150005801","152448023","154831127","157150590","159407908","161618007","163798391","165968133","168134636","170278280","172393456","174465406","176482751","178442336","180347895",
"Barbados","BRB","Urban population","SP.URB.TOTL","84932","85371","85875","86416","86942","87420","87841","88229","88618","89058","89661","90625","91678","92783","93910","95018","96102","97165","98198","99197","99823","98324","96774","95195","93618","92069","90553","89061","87589","86130","85012","85625","86243","86861","87492","88131","88787","89451","90120","90777","91289","91088","90869","90646","90437","90256","90108","89986","89879","89765","89630","89526","89457","89420","89419","89457","89531","89641",
"Brunei Darussalam","BRN","Urban population","SP.URB.TOTL","35478","38713","42135","45777","49683","53901","58454","63334","68550","74078","79920","86067","89838","93330","96802","100226","103586","106886","110090","113183","116156","118981","123747","128932","134251","139763","145466","151372","157482","163811","170366","177152","183769","190475","197242","204004","210724","217384","223998","230585","237148","243701","250216","256582","262671","268402","273730","278693","283476","288343","293479","298946","304700","310620","316547","322351","327998","333513",
"Bhutan","BTN","Urban population","SP.URB.TOTL","8029","8681","9386","10154","10996","11927","12955","14091","15337","16694","18164","19755","21481","23343","25366","27565","29957","32543","35332","38304","41457","44754","48209","51895","55953","60458","65570","71262","77224","82959","88049","92203","95473","98299","101488","105740","111417","118446","126740","135946","145751","156126","167184","178851","191028","203328","213177","223048","232968","242987","253168","263510","273839","284099","294258","304277","314136","323811",
"Botswana","BWA","Urban population","SP.URB.TOTL","16051","16639","17263","17927","19271","22926","27270","32443","38596","45875","54493","64663","72018","79779","88446","98143","108990","121052","134398","149031","164981","182259","209680","241894","277910","317779","361700","409650","461716","517738","577800","641666","676133","706781","737697","768558","799303","829904","860274","890252","919805","948753","967832","985295","1003223","1022073","1042097","1063246","1085519","1108813","1133060","1158330","1184621","1211929","1240142","1269051","1298625","1328797",
"Central African Republic","CAF","Urban population","SP.URB.TOTL","302205","317330","333406","350454","368614","387789","408133","429651","453142","477537","502749","528725","555615","583628","613300","644974","671828","694277","718321","744243","772267","802652","835275","869207","903111","935995","967354","997564","1027735","1055533","1082574","1112577","1145046","1179215","1213907","1248269","1281974","1315263","1348120","1380786","1413339","1445507","1477155","1508414","1539535","1571330","1604357","1638401","1671670","1701794","1727273","1747222","1762848","1777363","1795275","1820122","1853103","1893730",
"Canada","CAN","Urban population","SP.URB.TOTL","12368141","12729040","13121753","13522659","13934678","14343688","14763748","15136519","15487885","15804855","16132459","16470088","16708781","16967420","17247044","17548557","17756796","17976212","18167130","18358996","18607802","18852288","19121765","19355470","19583639","19807755","20046584","20316591","20585971","20961910","21282904","21585143","21927863","22245552","22536691","22800720","23129543","23491972","23812357","24125782","24455142","24806464","25054475","25330347","25610398","25889021","26125779","26440579","26788779","27157761","27522849","27857146","28249761","28639339","29014612","29321029","29739151","30167804",
"Central Europe and the Baltics","CEB","Urban population","SP.URB.TOTL","40680946","41697325","42662735","43670268","44717348","45700350","46636989","47617122","48587546","49513713","50340294","51243897","52351765","53487164","54670897","55905407","57137006","58349005","59529230","60602921","61618952","62476328","63243743","64001228","64746106","65478094","66191789","66882376","67542683","67934762","68131894","68095018","68005800","68007678","67938328","67833998","67595843","67494290","67307556","67202445","66742504","66373806","66004188","65840106","65701950","65573459","65463456","65294258","65141744","65074264","64879274","64691574","64587327","64507491","64446329","64388467","64327964","64278599",
